Trying to avoid sadness is trying to avoid life., Maxime Lagacé 
Tears come from the heart and not from the brain., Leonardo da Vinci 
"What brings us to tears, will lead us to grace. Our pain is never wasted.", Bob Goff 
There are two medicines for all ills: time and silence., Alexander Dumas 
"Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.", Unknown 
"When you’re happy you enjoy the music, but when you’re sad you understand the lyrics.", Frank Ocean 
Sometimes you laugh because you’ve got no more room for crying., Terry Pratchett 
Chasing happiness is guaranteed to make you unhappy. Ed Latimore (edlatimore.,com)
I learned how to be happy because I know what unhappiness felt like.," Lilly Singh (See also: Lilly Singh, From Depression To Success, YouTube video) "
Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad., Henry Wadsworth Longfellow 
.,"If you didn’t remember something happening, was it because it never had happened? Or because you wished it hadn’t? Jodi Picoult (Plain Truth) "
The good life is not one immune to sadness but one in which suffering contributes to our development., Alain de Botton 
All man’s miseries stem from his inability to sit quietly in a room and do nothing., Blaise Pascal
Life is made of so many partings welded together., Charles Dickens (Great Expectations) 
It’s sad when someone you know becomes someone you knew., Henry Rollins 
Ninety-nine percent of your problems are created by you because you take life seriously., Osho 
Nothing changes if nothing changes., Mel Robbins 
Turn your wounds into wisdom., Oprah Winfrey
Your sadness is a gift. Don’t reject it. Don’t rush it. Live it fully and use it as fuel to change and grow., Maxime Lagacé 
Don’t grieve. Anything you lose comes round in another form., Rumi 
Don’t desire happiness because it creates only unhappiness and nothing else., Osho 
"Tears are far more beautiful than anything that you have with you, because tears come from the overflow of your being.", Osho
"It was a fine cry – loud and long – but it had no bottom and it had no top, just circles and circles of sorrow.", Toni Morrison (Sula)
"Crying is all right in its way while it lasts. But you have to stop sooner or later, and then you still have to decide what to do. C.S.", Lewis (The Silver Chair)
Perhaps I know best why it is man alone who laughs; he alone suffers so deeply that he had to invent laughter., Friedrich Nietzsche
"How to be unhappy: stay inside all day, move as little as possible, spend more than you earn, take yourself (and life) too seriously, look for reasons why things won’t work, always consume, never contribute, resent the lucky and successful, never say hello first, be unreliable.", James Clear
"Friendship = vulnerability * time. If loneliness is epidemic, this seems like an important part of the fix.", Sahil Lavingia
"Feeling lost, crazy and desperate belongs to a good life as much as optimism, certainty and reason.", Alain de Botton 
"If you eat, invest, and think according to what the ‘news’ advocates, you’ll end up nutritionally, financially and morally bankrupt.", Naval Ravikant
"The perfected future never arrives. Life is full of seemingly endless trouble, and then life ends. Find peace in the imperfect present.", The Stoic Emperor
"Perhaps, somewhere, some day, at a less miserable time, we may see each other again.", Vladimir Nabokov (Lolita)
.,"You don’t need water to feel like you’re drowning, do you? Jodi Picoult (Nineteen Minutes)"
Life seems but a quick succession of busy nothings., Jane Austen
Love is not a victory march. It’s a cold and it’s a broken hallelujah., Leonard Cohen
Never be afraid of tears. Tear-filled eyes are capable of seeing truth. Tear-filled eyes are capable of seeing the beauty of life., Osho
Tears are words the heart can’t express., Gerard Way
For even as love crowns you so shall he crucify you., Kahlil Gibran (The Prophet)
Blaming other people for things that are going wrong guarantees your continued misery., Justin Kan
"Heaven knows we need never be ashamed of our tears, for they are rain upon the blinding dust of earth, overlying our hard hearts. I was better after I had cried, than before – more sorry, more aware of my own ingratitude, more gentle.", Charles Dickens (Great Expectations)
"Even a happy life cannot be without a measure of darkness, and the word happy would lose its meaning if it were not balanced by sadness. It is far better to take things as they come along with patience and equanimity.", Carl Jung
The opposite of love is indifference., Shane Parrish
"When you lose, do not lose the lesson.", 14th Dalai Lama
"I always like walking in the rain, so no one can see me crying.", Charlie Chaplin 
Proud people breed sad sorrows for themselves., Emily Brontë
"Behind every sweet smile, there is a bitter sadness that no one can ever see and feel.", Tupac
"Never say goodbye, because saying goodbye means going away, and going away means forgetting."," Peter Pan (Peter Pan, Disney)"
It’s just that I’m not sure I fit in here. There’s no one I can really talk to.," Belle (Beauty and the Beast, Disney)"
Many people are alive but don’t touch the miracle of being alive., Thich Nhat Hanh
"The colder the winter, the warmer the spring. The deeper the sorrow, the more our hearts sing."," Bambi (Bambi, Disney)"
"You said you’d always be there for me, but you’re not."," Simba (The Lion King, Disney)"
"When you feel like you’ve had it up to here, and you’re mad enough to scream, but you’re sad enough to tear, that’s rock bottom.", Eminem
What need is there to weep over parts of life? The whole of it calls for tears., Seneca 
One thing you can’t hide — is when you’re crippled inside., John Lennon 
The funniest people are the saddest ones., Confucius
The sadness will last forever., Vincent van Gogh
"I used to think the worst thing in life was to end up all alone, it’s not. The worst thing in life is to end up with people who make you feel alone.", Robin Williams
"People cry, not because they’re weak. It’s because they’ve been strong for too long.", Johnny Depp
Sadness flies away on the wings of time., Jean de La Fontaine
Parting is such sweet sorrow that I shall say goodnight till it be morrow., William Shakespeare (Romeo and Juliet)
"When you do something noble and beautiful and nobody noticed, do not be sad. For the sun every morning is a beautiful spectacle and yet most of the audience still sleeps.", John Lennon
Some people care too much. I think it’s called love. A.A., Milne (Winnie the Pooh)
"Those who do not weep, do not see.", Victor Hugo (Les Misérables) 
Lord help my poor soul., Edgar Allan Poe
Trifles make the sum of life., Charles Dickens
We forge the chains we wear in life., Charles Dickens
Every heart has its own skeletons., Leo Tolstoy (Anna Karenina)
I am just another dot in the world., Yayoi Kusama
Unhappy people focus on what’s missing., Unknown
Saying nothing sometimes says the most., Emily Dickinson
You’re sad because you’re afraid of reality., Maxime Lagacé 
"The trouble is, you think you have time.", Jack Kornfield
"In the valley of sorrow, spread your wings.", Susan Sontag
It’s much easier not to know things sometimes., Stephen Chbosky (The Perks of Being a Wallflower)
This moment will just be another story someday., Stephen Chbosky (The Perks of Being a Wallflower)
"The cure for anything is salt water – sweat, tears, or the sea.", Isak Dinesen
.,"I am nobody! Who are you? Are you a nobody, too? Emily Dickinson"
A long life makes acquaintance with a thousand ills., Publius Syrus
There is prodigious strength in sorrow and despair., Charles Dickens 
"No one is really going to help you or give you direction. In fact, the odds are against you.", Robert Greene
"You’re sad because you’re wasting your potential. You know it, your family knows it, everyone knows it. Do something useful.", Carlos Del Valle
"Feeling down, lost, confused, angry, jealous are all parts of the human condition. Don’t fight them. Understand them. Accept them. Love them and go beyond them.", Maxime Lagacé
The wound is the place where the light enters you., Rumi
Nothing sadder than seeing a person settle for so much lower than their potential., Ed Latimore
"The more you consume, the sadder you get. The sadder you get, the more you consume. Create instead.", Maxime Lagacé
"That is my work, to transform your life from a sad affair into a celebration.", Osho
"Sadness is silent, it is yours. It is coming because you are alone. It is giving you a chance to go deeper into your aloneness. Rather than jumping from one shallow happiness to another shallow happiness and wasting your life, it is better to use sadness as a means for meditation. Witness it. It is a friend! It opens the door of your eternal aloneness.", Osho
"Life needs both: thorns and roses, days and nights, happiness/unhappiness, birth/death. Be a witness to it all and you will know something that is beyond birth, beyond death; something that is beyond darkness and beyond light; something that is beyond happiness, beyond unhappiness.", Osho
I’ve learned more from pain than I could’ve ever learned from pleasure., Unknown
"Its good to leave each day behind, like flowing water, free of sadness. Yesterday is gone and its tale told. Today new seeds are growing.", Rumi
You say: “I did not think it would happen”.," Do you think there is anything that will not happen, when you know that it is possible to happen, when you see that it has already happened to many? Seneca"
I have seen great beauty of spirit in some who were great sufferers […] and I have seen the last illness produce treasures of fortitude and meekness from most unpromising subjects. C.S., Lewis (The Problem of Pain)
"Experiencing sadness and anger can make you feel more creative, and by being creative, you can get beyond your pain or negativity.", Yoko Ono
The human condition is a good one in that no one is unhappy except by his own fault., Seneca
This genuine heart of sadness can teach us great compassion. It can humble us when we’re arrogant and soften us when we are unkind., Pema Chödrön
"Usually when people are sad, they don’t do anything. They just cry over their condition. But when they get angry, they bring about a change.", Malcolm X
Man performs and engenders so much more than he can or should have to bear. That’s how he finds that he can bear anything., William Faulkner
"Let there be sunshine, let there be rain, let the broken hearted love again.", Bruce Springsteen
There is not enough darkness in all the world to put out the light of even one small candle., Robert Alden
Suffering is a gift; in its hidden mercy., Rumi
"Misery comes the moment you become clinging, attached. The moment you put conditions on life.", Osho 
"Everybody wants to destroy misery, but everybody goes on desiring, and by desiring one goes on creating more and more misery.", Osho
"Happiness is one pole, sadness is another. Blissfulness is one pole, misery is another. Life consists of both, and life is richer because of both. A life only of blissfulness will have extension, but will not have depth. A life of only sadness will have depth, but will not have extension.", Osho
"The more secrets you have, the less happy you’re going to be.", Naval Ravikant
Be patient where you sit in the dark. The dawn is coming., Rumi 
The fundamental delusion – there is something out there that will make me happy and fulfilled forever., Naval Ravikant
At the heart of every frustration lies a basic structure: the collision of a wish with an unyielding reality., Alain de Botton (The Consolations of Philosophy)
He soon felt that the fulfillment of his desires gave him only one grain of the mountain of happiness he had expected. This fulfillment showed him the eternal error men make in imagining that their happiness depends on the realization of their desires., Leo Tolstoy (Anna Karenina)
"To be more comfortable with yourself, improve your self-knowledge. To improve your self-knowledge, meditate.", Maxime Lagacé
"Sadness is a force of great depth and breadth. Too much sadness leads us to be passive, depressive, self-pitying and incapable of action. Too little leads us to be superficial, indifferent, repressing and lacking in sensitivity. changetools.co.",uk
Rejecting the moment creates friction. Friction creates confusion. Confusion creates sadness., Maxime Lagacé 
"Accept – then act. Whatever the present moment contains, accept it as if you had chosen it. Always work with it, not against it. Make it your friend and ally, not your enemy. This will miraculously transform your whole life.", Eckhart Tolle
Sorrow is an inextricable part of life. Whoever lives experiences it. There’s no escape. If we understand this then we would stop bewailing every misfortune that occurs. Life is a bargain. You want joy but you can’t have it without suffering. You must accept the whole package., The Ancient Sage
"Impermanence of everything is a universal constant. No matter what kind of legacy, family, foundation, or business you’ve created, one day it will disappear and no one will remember anything of your life.", Justin Kan
"Boredom, anger, sadness, or fear are not ‘yours,’ not personal. They are conditions of the human mind. They come and go. Nothing that comes and goes is you.", Eckhart Tolle
Most of the trouble in life comes from misunderstanding., Lucy Maud Montgomery
Mostly it is loss which teaches us about the worth of things., Arthur Schopenhauer
.,What if the worst thing that happened to you turns out to be the best thing that has ever happened to you? Joe Dispenza 
